questions,lang,keywords
"
Which companies work in the aerospace industry as well as on nuclear reactor technology?
",en,
"
Give me all school types.
",en,
"
Which presidents were born in 1945?
",en,
"
Who was the wife of President Lincoln?
",en,
"
Which software has been published by Electronic Arts?
",en,
"
What is the official website of Tom Hanks?
",en,
"
List all episodes of the first season of the HBO television series ""The Sopranos""!
",en,
"
Who produced the most films?
",en,
"
Give me all female German chancellors!
",en,
"
When was DBpedia released?
",en,
"
Which mountains are higher than the Nanga Parbat?
",en,
"
Who created English Wikipedia?
",en,
"
Give me all European Capitals!
",en,
"
Is Christian Bale starring in ""Batman Begins""?
",en,
"
Give me the websites of companies with more than 500000 employees.
",en,
"
Which actors were born in Germany?
",en,
"
Which country does the Airedale Terrier come from?
",en,
"
Which birds are there in the United States?
",en,
"
Give me all actors starring in Batman Begins.
",en,
"
How many films did Leonardo DiCaprio star in?
",en,
"
Who is called Dana?
",en,
"
Which caves have more than 3 entrances?
",en,
"
Give me all films produced by Hal Roach.
",en,
"
Who developed the video game World of Warcraft?
",en,
"
What languages are spoken in Estonia?
",en,
"
Who owns Aldi?
",en,
"
Which capitals in Europe were host cities of the summer olympic games?
",en,
"
Which genre does DBpedia belong to?
",en,
"
Which people were born in Heraklion?
",en,
"
Which music albums contain the song Last Christmas?
",en,
"
Which books were written by Danielle Steel?
",en,
"
Which companies were founded in California, USA?
",en,
"
Which country has the most official languages?
",en,
"
Give me all films with Tom Cruise!
",en,
"
Which people have as their given name Jimmy?
",en,
"
In which programming language is GIMP written?
",en,
"
Which software has been developed by organizations in California?
",en,
"
Who has been the 5th president of the United states of America?
",en,
"
Who produced films starring Natalie Portman?
",en,
"
Is Natalie Portman an actress?
",en,
"
In which films did Julia Roberts as well as Richard Gere play?
",en,
"
Which are the presidents of the United States of America?
",en,
"
Who wrote the book The pillars of the Earth?
",en,
"
Which cities have more than 2 million inhabitants?
",en,
"
Who was Tom Hanks married to?
",en,
"
Give me all soccer clubs in the Premier League.
",en,
"
When was Lucas Arts founded?
",en,
"
Is there a video game called Battle Chess?
",en,
"
Which organizations were founded in 1950?
",en,
"
What is the highest mountain?
",en,
